organization,organization_url,project_summary,year_approved,status,amount,duration
ArtsEmerson,www.artsemerson.org ,"To support Community Curators, a program that engages Boston curators to envision and produce events in ArtsEmerson’s downtown spaces, elevating collaboration in the city and authentically welcoming diverse audiences.",2017,Closed,"$50,000",24 months
Asian American Writers' Workshop,http://www.aaww.org,"To support three projects to incubate excellent artists of Asian American, immigrant, and Muslim descent and to engage communities of color with aesthetically rigorous cultural practice: 1) an online magazine, The Margins, and the Margins Fellowship; 2) an online editorial initiative, Open City, and the Open City Fellowships for immigrants and Muslim writers; and 3) a new prize in to publish a first novel by an Asian American writer anywhere in the country.",2017,Closed,"$200,000",24 months
Aspen Institute,http://www.aspeninstitute.org,To support the Aspen Institute’s Forum on Latino Business Growth—a 3-day gathering that will bring together 27 leaders and practitioners from across sectors and disciplines to grapple with and generate ideas for high-impact interventions that will help stakeholders overcome obstacles to scaling Latino owned businesses.,2017,Active,"$100,000",12 months
Association for Community Design,http://www.communitydesign.org/,"To support the Association for Community Design to conduct and document research on racial justice and social equity in community-engaged design practice, with the goal of building the capacity of design professionals to use their work to fight systemic racism and refine practice in designing for equitable outcomes in the built environment.",2017,Active,"$150,000",30 months
Association of Baltimore Area Grantmakers,http://www.abagrantmakers.org; www.baltimorepartnership.org ,To support the Association of Baltimore Area Grantmakers create economic opportunities for Baltimore City residents through anchor institution economic inclusion strategies.,2017,Active,"$150,000",18 months
AXIS Dance Company,http://www.axisdance.org,General operating support.,2017,Closed,"$150,000",24 months
buildingcommunityWORKSHOP,http://bcworkshop.org,To support the Association for Community Design’s 40th annual conference and the affiliated Racial Justice + Design Summit.,2017,Closed,"$25,000",6 months
Camelback Ventures,www.camelbackventures.org,"To support Camelback Ventures in launching a pilot cohort that will focus on developing entrepreneurs in New Orleans to create more good jobs, particularly women of color.",2017,Active,"$75,000",12 months
Center for Cultural Innovation,http://www.cciarts.org,To support the development of strategies to advance recommendations from the 2016 field report Creativity Connects: Trends and Conditions Affecting U.S. Artists.,2017,Closed,"$100,000",12 months
Center for Innovation in Worker Organization,http://smlr.rutgers.edu/research-centers/CIWO ,General operating support.,2017,Active,"$200,000",24 months
Center for Popular Democracy,http://www.populardemocracy.org,"To support Local Progress, the national network of progressive municipal elected officials build its organizational capacity in key areas: campaigns, communications, research, training, and fundraising.",2017,Closed,"$200,000",12 months
Climate Justice Alliance,www.ourpowercampaign.org/,To support the Climate Justice Alliance to demand bold government and industry action that responds to frontline grassroots organizing around environmental and economic needs and confronts the root causes of climate change.,2017,Active,"$300,000",36 months
Clinton Community Christian Corporation,www.hello4cs.org ,"To support programming and design processes to inform the development of the Mississippi Center for Cultural Production, a space to facilitate the research, development, marketing, and commerce of agricultural and cultural products that speak to the history and future of the Utica, MS, community.",2017,Closed,"$80,000",12 months
Deep Center,http://www.deepkids.com,"To support the River Writes project within the Block by Block program to engage community, artists, and adult and youth writers in documenting, celebrating, and advocating for Savannah’s long-oppressed and rapidly disappearing Gullah-Geechee coastal communities.",2017,Closed,"$50,000",12 months
Designing Justice Designing Spaces                     Spotlight,http://designbridger.com/,"To support Designing Justice + Designing Spaces’s Concept Development Fund, which will provide research and development capital to support the design of new processes, building types, tools, spaces, and financial models that are of high impact to its restorative justice/economics partners and clients.",2017,Active,"$300,000",36 months
"Didtechnology, Inc.",http://www.digitalundivided.com ,"To support Didtechnology Inc. to implement the BIG Accelerator program, a 26-week incubator program for Black and Latina women tech entrepreneurs located in downtown Atlanta, GA.",2017,Closed,"$150,000",12 months
Documentary Educational Resources,www.der.org,"To support Documentary Educational Resources’ development of “Councilwoman”, a documentary feature film about a Dominican housekeeper in a Providence hotel who wins a seat in City Council, taking her advocacy for low-income workers from the margins to city politics.",2017,Active,"$75,000",12 months
"Emerald Cities Collaborative, Inc.",http://www.emeraldcities.org,General operating support.,2017,Active,"$300,000",18 months
Energy Programs Consortium,www.energyprograms.org,To support efforts for low and moderate-income homeowner families to access appropriate energy efficiency loan products without undue financial burden.,2017,Active,"$35,000",12 months
Enterprise Center,http://theenterprisecenter.com/capcorp/,"To support the Philly Foods Innovation Marketplace, a two-year program to build opportunities for disadvantaged small businesses in the culinary industry to grow and sustain their cultural impact in the greater Philadelphia region.",2017,Active,"$200,000",12 months
Fair Work Center,www.fairworkcenter.org,"To support the Fair Work Center to establish a co-enforcement model of labor standards enforcement in Seattle by bringing together stakeholders from government, worker organizations, and business interests to build a culture of compliance with labor standards.",2017,Closed,"$60,000",15 months
Foundation for Louisiana,http://www.foundationforlouisiana.org,"To support Phase I of the Claiborne Corridor Cultural Innovation District in New Orleans, a project to reclaim underutilized space for community economic development, cultural preservation, and recreation uses along a corridor that has shouldered the effects of disinvestment and inequitable development practices.",2017,Active,"$200,000",12 months
Foundation for Louisiana,http://www.foundationforlouisiana.org,To support the Foundation for Louisiana and its partners to develop a community led process to co-design and inform the resilience strategies for Louisiana’s coastal parishes.,2017,Active,"$150,000",24 months
Good Jobs First,http://www.goodjobsfirst.org,General operating support.,2017,Active,"$600,000",36 months
Good Work Network,http://goodworknetwork.org,General operating support.,2017,Active,"$180,000",18 months
Grantmakers in the Arts,http://www.giarts.org,"To support of the 2017 GIA conference scheduled for Detroit, MI.",2017,Closed,"$25,000",10 months
Grassroots Global Justice,http://ggjalliance.org ,General operating support.,2017,Active,"$225,000",36 months
Green Infrastructure Leadership Exchange,www.giexchange.org,"To support ongoing activities of the Green Infrastructure Leadership Exchange, a city-to-city practitioner network and information center that seeks to accelerate research, innovation and implementation around green stormwater infrastructure.",2017,Active,"$200,000",24 months
Greenlining Institute,http://www.greenlining.org,To support the Greenlining Institute to advance diverse business growth and the creation of quality jobs for people of color by pursuing a multi-sector supplier diversity strategy.,2017,Active,"$100,000",12 months
"Ifetayo Cultural Arts Academy, Inc.",http://www.ifetayo.org,"To provide closeout support for the Youth Ensemble and the Rights of Passage programs for youth of African descent. This grant closes out our previous strategies in preparation for the rollout of our new arts and culture program, Radical Imagination for Racial Justice.",2017,Active,"$300,000",36 months
ISAIAH,http://www.isaiahmn.org,"To support ISAIAH and Neighborhood Organizing for Change build a Midwestern regional strategy grounded in state-based power building organizations for a fair economy, sustainable environmental policies, and racial equity.",2017,Closed,"$225,000",12 months
"Junebug Productions, Inc.",www.junebugproductions.org,General operating support.,2017,Closed,"$150,000",24 months
Kiva MicroFunds,http://www.kiva.org,"To support Kiva’s work in connecting and supporting traditionally underserved small business owners in the arts and culture sector with Kiva’s crowdfunded, 0%-interest capital..",2017,Closed,"$100,000",12 months
Kounkuey Design Initiative,http://www.kounkuey.org/,General operating support.,2017,Active,"$350,000",36 months
Laundromat Project,www.laundromatproject.org,General operating support.,2017,Closed,"$150,000",24 months
Lorraine Civil Rights Museum Foundation,http://civilrightsmuseum.org,"To support MLK50, a series of events and projects commemorating the 50th anniversary of Dr. Martin Luther King, Jr.’s assassination that will reflect on the past, evaluate the present and propose solutions for the future and to support the Justice through Journalism project. The grant will be divided in two parts with $100,000 dedicated to the MLK50 events and the remaining $100,000 dedicated to the Justice Through Journalism project.",2017,Closed,"$200,000",12 months
"Marxe School of Public and International Affairs, Baruch College",http://www.baruch.cuny.edu/mspia/index.html ,"To support the Marxe School of Public and International affairs produce a series of policy briefings on issues of employment, labor markets and community economic development; small and medium-sized local business infrastructure; and on trends in income, poverty and inequality by race\ethnicity\national origin in New York City.",2017,Active,"$100,000",26 months
Massachusetts Institute of Technology Community Innovators Lab,http://web.mit.edu/colab/index.html,To support the creation of a suite of aesthetic tools to support community-organizing and advocacy efforts around displacement and gentrification in Boston and the Bronx.,2017,Active,"$225,000",27 months
Meridian Institute,http://www.merid.org,To support AGree to: support education and advocacy for local/regional food systems and urban agriculture programs and investments; and positively influence immigration policy for the food and agriculture sector.,2017,Active,"$50,000",18 months
Movement Strategy Center,http://movementstrategy.org,"To support the Movement Strategy Center build its national Transitions Initiative which simultaneously provides technical assistance, coaching investments and capacity building tools to local organizations while informing Movement Strategy Centers’s field-building efforts to support Just Transition strategies across the US.",2017,Active,"$300,000",36 months
National Performance Network,http://www.npnweb.org,"To support the second phase of the Spiritual Technologies Project, which seeks to generate, document, and transmit performative practices that unify and shape individuals and groups of people.",2017,Active,"$60,000",24 months
Neighborhood Story Project,http://www.neighborhoodstoryproject.org,"To support the creation of an equitable model for publishing collaborative ethnographies that not only tell the stories of art, music, ritual, and activism in New Orleans, but also help reweave the fabric of communities.",2017,Active,"$225,000",36 months
New American Leaders Project,www.newamericanleaders.org ,"To Support the New American Leaders Project in providing state and local elected officials with leadership training, skills building, and networking opportunities so they can govern effectively and advance policy platforms enhancing economic and educational equity. The grant will also support the completion of a documentary film on a trailblazing legislator and related impact campaign.",2017,Active,"$170,000",12 months
New York Energy Democracy Alliance,www.energydemocracyny.org,To support the New York Energy Democracy Alliance’s CoShare working group.  CoShare working group members will raise funding to build community owned or controlled shared solar projects accessible to low income communities and communities of color.,2017,Closed,"$75,000",12 months
New York Energy Democracy Alliance,www.energydemocracyny.org,"To formalize the organizational infrastructure for the NY Energy Democracy Alliance and support its efforts to advance a just and participatory transition to a resilient, localized, and democratically controlled clean energy economy in New York State, and to create a national model for this work.",2017,Active,"$200,000",24 months
"NewCorp, Inc.",http://www.newcorpinc.com,To support NewCorp in providing assistance in the overall development of the New Orleans Black Mardi Gras Indian Co-Op into a self-sustaining entity that creates opportunity for the individual contractors (Black masking Indians) to monetize their trade through the sale of their suits (whole or deconstructed) and other items that may be produced by co-op members.,2017,Active,"$150,000",12 months
Nonprofit Knowledge Works,www.datacenterresearch.org,To support Nonprofit Knowledge Works in developing a new Equity Index to specifically inform public dialogue around the history and future of New Orleans as it relates to race and equity.,2017,Active,"$125,000",16 months
Nonprofits Assistance Fund,https://nonprofitsassistancefund.org,To support efforts to strengthen the financial health of Minnesota-based arts- and/or community-focused nonprofits in order to increase their effectiveness as community leaders and agents of change.,2017,Active,"$150,000",24 months
One America,www.weareoneamerica.org,"To support a long-term power-building strategy in Washington State grounded in a commitment to long-term organizing; and, base-building that is centered in racial equity and social and environmental justice and built from the ground-up, lifting up the stories and voices of our members to drive a more powerful and persuasive progressive narrative that can shift what is politically possible.",2017,Closed,"$50,000",12 months
Partnership for Working Families,http://www.forworkingfamilies.org,"To support building the internal capacity of In the Public Interests, a program of the Partnership for Working Families, to proactively educate advocates and policy-makers to understand the implications of infrastructure policy and project proposals and advocate for and secure economic, community and environmental outcomes in major infrastructure investments.",2017,Active,"$170,000",24 months
Penumbra Theatre Company,http://www.penumbratheatre.org,"To provide closeout support for the Summer Institute, an artistic and leadership training program for teens. This grant closes out our previous strategies in preparation for the rollout of our new arts and culture program, Radical Imagination for Racial Justice.",2017,Active,"$300,000",36 months
People's Action Institute,https://peoplesaction.org/ ,To support People’s Action Institute’s Climate Justice program; deepening organizing activities and running climate justice campaigns that center around the interest of working class people and communities of color.,2017,Active,"$300,000",36 months
Perseverance Theatre,http://www.ptalaska.org/ ,To support the commissioning of a cohort of five diverse writers to develop a series of plays to showcase the value of new voices and the impact of theater in Alaskan communities.,2017,Active,"$50,000",24 months
PolicyLink,http://www.policylink.org,General operating support.,2017,Closed,"$100,000",12 months
Raise the Floor Alliance,http://www.raisetheflooralliance.org/,General operating support.,2017,Active,"$150,000",12 months
"REBUILD, City of Philadelphia",,"To support planning and early implementation for arts-based and overall community-engagement and capacity-building efforts for Rebuilding Community Infrastructure, a $500 million program to revitalize neighborhood parks, recreation centers, and libraries in Philadelphia.",2017,Active,"$450,000",36 months
Rising Tide Capital,http://www.RisingTideCapital.org,"To support Rising Tide Capital to set an anchor table in Jersey City, NJ and support a more developed anchor table in Newark, NJ as part of fulfilling the objectives of a broader collective impact initiative to build more inclusive, resilient and healthy local economies in the communities where Rising Tide Entrepreneurs live and work.",2017,Active,"$100,000",21 months
Roadmap Consulting,www.roadmapconsulting.org,To support Roadmap Consulting’s capacity building efforts with three Surdna Strong Local Economies grantee partners as well as provide Weathering the Storms support to Surdna grantees.,2017,Active,"$125,000",18 months
Rockefeller Family Fund,http://www.rffund.org,"To support the Just Transition Fund, a philanthropic pooled fund initiative housed at the Rockefeller Family Fund, which supports frontline coalfield and power plant communities as they make a just transition away from coal.",2017,Closed,"$75,000",12 months
"Roots of Music, Inc.",http://therootsofmusic.org/,General operating support.,2017,Active,"$150,000",36 months
RSF Social Finance,http://www.rsfsocialfinance.org,"To support RSF’s Food System Transformation Fund, which is dedicated to financing the development of regional food systems.",2017,Active,"$100,000",24 months
Social Entrepreneurs of New Orleans,www.gopropeller.org ,"To support Social Entrepreneurs of New Orleans to implement Impact Accelerators, racial equity training, and other work related to building an equitable business ecosystem in New Orleans.",2017,Closed,"$75,000",12 months
Soulsville Foundation,http://www.staxmusicacademy.org / www.soulsvillefoundation.org,"To support the Stax Music Academy’s SNAP! Afterschool Senior Academy Program, which serves middle- and high-school students, ages 13-18.",2017,Active,"$100,000",24 months
Southeast African American Farmers' Organic Network,www.saafon.org,To support the general capacity building and organizational infrastructure necessary to grow the production capacity of the network and to provide training that enhances the knowledge of individual members. Our primary goal is to create an economically viable and sustainable food system that is inclusive and equitable for African American organic producers.,2017,Active,"$125,000",24 months
"Southwest Georgia Project For Community Education, Inc.",http://www.swgaproject.com/,"To support under-served farmers to strengthen value chain linkages by providing training, education and increasing opportunities.",2017,Active,"$225,000",36 months
Springboard for the Arts,http://www.springboardforthearts.org,To support the development of a new set of programs and tools that increase economic opportunities for artist-run businesses.,2017,Active,"$750,000",36 months
STAR Communities,http://www.starcommunities.org/,General operating support.,2017,Closed,"$75,000",12 months
Sustainable Jersey A NJ Nonprofit Corporation,www.sustainablejersey.com,To support Sustainable Jersey to build sustainable and equitable communities by deploying data tracking systems that measure impacts to guide the development of emergent best practices.,2017,Active,"$280,000",24 months
The American Prospect,http://prospect.org/,General operating support.,2017,Closed,"$125,000",12 months
The Loft Literary Center,http://loft.org,"To provide closeout support for the Spoken Word Program. This grant closes out our previous strategies in preparation for the rollout of our new arts and culture program, Radical Imagination for Racial Justice.",2017,Active,"$75,000",24 months
The New York Women's Foundation,www.nywf.org,To support The New York Women’s Foundation implement the New York City Fund for Girls and Young Women of Color.,2017,Active,"$150,000",24 months
THE POINT Community Development Corporation,http://www.thepoint.org,General operating support.,2017,Active,"$300,000",36 months
The Reinvestment Fund,http://www.reinvestment.com,To support local and national dissemination of the findings of the report “The Supply Chain Matrix: A Prospective Study of The Spatial and Economic Connections within New England’s Meat Industry.”,2017,Closed,"$20,000",12 months
The Solutions Project,www.thesolutionsproject.org,"To support the Solutions Project to continue strengthening the ecosystem of clean energy advocates and to provide direct, rapid response grants to frontline leaders in key movement moments through the Fighter Fund.",2017,Active,"$450,000",36 months
Transportation for America,http://www.t4america.org,"To support Transportation for America’s efforts to build capacity at the local level in order to advance more sustainable and equitable transportation policies and to drive policy change at the local, state, and federal levels.",2017,Closed,"$250,000",12 months
Trustees of Indiana University,www.snaap.indiana.edu,"To provide closeout support for the Strategic National Arts Alumni Project to undertake research and strategic planning for its future course. This grant closes out our previous strategies in preparation for the rollout of our new arts and culture program, Radical Imagination for Racial Justice.",2017,Closed,"$40,000",15 months
University of New Mexico School of Architecture and Planning,http://saap.unm.edu/,To provide operational support for the Indigenous Design and Planning Institute,2017,Active,"$225,000",36 months
University of Virginia Institute for Environmental Negotiation,www.virginia.edu/ien/,"To support the Institute for Environmental Negotiation’s development of a social-impact study template for housing (re)development that is holistic, participatory, equity focused, grounded in evidence-based research, and actionable by a variety of key decision-makers.",2017,Active,"$125,000",24 months
Urban Word NYC,http://www.urbanwordnyc.org,"To provide closeout support for the National Youth Poet Laureate Program. This grant closes out our previous strategies in preparation for the rollout of our new arts and culture program, Radical Imagination for Racial Justice.",2017,Active,"$225,000",36 months
Winrock International,http://Winrock.org; Wallacecenter.org; NGFN.org ,"To support the Wallace Center to create equitable, economically viable community-based food systems through a Community of Practice for value chain coordinators in concert with USDA’s Food LINC Initiative, and to raise awareness of this work among stakeholders.",2017,Closed,"$150,000",12 months
Working Classroom,http://www.workingclassroom.org,"Closeout general operating support. This grant closes out our previous strategies in preparation for the rollout of our new arts and culture program, Radical Imagination for Racial Justice.",2017,Active,"$100,000",24 months
World Business Chicago,www.worldbusinesschicago.com/case ,"To support World Business Chicago to improve CASE’s ability and capacity to gather data related to workforce development like the types of jobs being created, their quality, and the industries where highest quality jobs are best supported.  This grant is intended to enable CASE to hone its supplier matchmaking and the support it offers anchor partners in order to optimize the number, quality, and endurance of the jobs created by the CASE initiative.",2017,Active,"$150,000",12 months
Yerba Buena Center for the Arts,http://ybca.org,"To support Creative Ecosystem, a cultural incubator for community-driven and artist-led change around the urgent questions of our time.",2017,Active,"$150,000",24 months
Youth Speaks,"http://www.youthspeaks.org, www.bravenewvoices.org","To provide closeout support for the organization’s leadership transition and for the development of mental-health support programs for youth poets. This grant closes out our previous strategies in preparation for the rollout of our new arts and culture program, Radical Imagination for Racial Justice.",2017,Closed,"$150,000",12 months
Los Angeles Alliance for a New Economy,http://www.laane.org,"To support the Los Angeles Alliance for a New Economy to research the Los Angeles County’s watershed management needs and advocate for green water infrastructure solutions that promote drought adaption, quality jobs and environmental and community benefits.",2017,Active,"$300,000",36 months
Allied Media Projects,www.alliedmedia.org ,To support Detroit-based writer and filmmaker dream hampton to produce a collection of essays that look deeply at Detroit as a way to also examine our current national landscape.,2017,Closed,"$75,000",12 months
"Amigos del Museo del Barrio, Inc.",www.elmuseo.org,"To support  (is)land / in-land PROMESA’s, a project by artist Miguel Luciano that addresses the social, political, and economic crisis in Puerto Rico and its impact on mainland Puerto Rican communities in the U.S.",2017,Active,"$100,000",24 months
Aspen Institute,http://www.aspeninstitute.org,To support the Aspen Institute’s Economic Opportunities Program to engage in a variety of strategies to better understand how employment is changing and ways to improve job quality.,2017,Closed,"$150,000",12 months
Blue Green Alliance Foundation,http://www.bgafoundation.org,To support The Blue Green Alliance Foundation’s joint work with Jobs to Move America to advance the implementation of The US Employment Plan to enhance quality job creation and environmental outcomes in the next generation of transit infrastructure.,2017,Active,"$150,000",24 months
Brooklyn Arts Exchange Inc.,http://www.bax.org,"To support Dancing While Black, which will fortify the field of Black contemporary dance by offering a fellowship for 14 artists, creating a digital journal, and convening a series of dialogues among artist-activists.",2017,Active,"$100,000",24 months
"CGDCNY, Inc",cgdcny.org,"To support the Highland Hill Project, a community planning/design and organizing initiative to empower community members to develop and execute plans that uplift their neighborhood.",2017,Closed,"$40,000",12 months
Climate Interactive,http://www.climateinteractive.org,To support Climate Interactive to continue refine of the Green Infrastructure Decision Support tool and replicate the tool application in Atlanta.,2017,Active,"$500,000",24 months
Democracy Collaborative Foundation,http://www.DemocracyCollaborative.org,"To support the Democracy Collaborative Foundation in building community wealth by expanding employee ownership, creating a collaborative network of anchor institutions, and launching a decade-long initiative rooted in democratic ownership.",2017,Active,"$450,000",36 months
EcoDistricts,http://www.ecodistricts.org,General operating support.,2017,Closed,"$195,000",12 months
Eno Center for Transportation,http://www.enotrans.org,General operating support.,2017,Active,"$150,000",24 months
Enterprise Community Partners,www.enterprisecommunity.org,"To support the National Design Initiative’s and the Enterprise Rose Architectural Fellowship Program’s efforts to advance gender and racial diversity and equity through thoughtful, community-engaged design.",2017,Active,"$250,000",36 months
Fair Food Network,http://www.fairfoodnetwork.org/,"To build the capacity of Fair Food Network’s Fair Food Fund program to provide financing and business assistance to good food entrepreneurs growing a sustainable, regional food system in the Northeastern United States.",2017,Closed,"$150,000",24 months
Flynn Center for the Performing Arts,http://www.flynncenter.org,To support programmatic and organizational initiatives to move the Flynn toward more inclusive excellence.,2017,Active,"$160,000",24 months
Global Philanthropy Partnership,www.global-philanthropy.org,"To support learning, collaboration and action among local governments to accelerate their advancements of urban sustainability and social equity.",2017,Active,"$1,000,000",36 months
Good Jobs First,http://www.goodjobsfirst.org,"To support Good Jobs First to augment their Violation Tracker database with workplace fairness and employment discrimination data. Violation Tracker, unveiled in October 2015, is the first national search engine on corporate misconduct.",2017,Closed,"$75,000",12 months
Interise,http://www.interise.org,"To further develop Interise’s StreetWise ‘MBA’ curriculum elements focused on anchor procurement and to develop, and to scale Interise’s Capacity, Contracts and Capital Collaborative (C3), which seeks to more deeply understand the anchor institution local procurement system in order to achieve the mutually beneficial goal of expanding the number and size of contracts awarded to local women and minority business enterprises (WMBE).",2017,Active,"$250,000",24 months
Kentucky Coalition,https://www.kftc.org/,"To support the New Energy and Transition program, an ambitious set of strategies and campaigns designed to shape and speed a just transition to a new economy, powered by clean energy.",2017,Closed,"$300,000",24 months
National Association for Latino Community Asset Builders,http://www.nalcab.org,General operating support.,2017,Active,"$525,000",36 months
National Black Worker Center Project,www.Nationalblackworkercenters.org,"To support the National Black Worker Center Project’s Working While Black (WWB) campaign, a 12-month strategic communications and organizing campaign designed to articulate, capture, and communicate the experiences, challenges, aspirations, and achievements of Black workers.",2017,Closed,"$50,000",12 months
Next City,http://www.nextcity.org,To support Next City’s journalism fellowship for writers of color and general operations for Next City’s editorial team. The grant will allow Next City to continue to offer its Equitable Cities Fellowship and publish reporting on community-engaged design and infrastructure.,2017,Active,"$750,000",36 months
"UBW, Inc.",http://www.urbanbushwomen.org,General operating support.,2017,Closed,"$200,000",24 months
Urban Manufacturing Alliance,www.urbanmfg.org ,"To support the Urban Manufacturing Alliance (UMA) to advance research, thought-leadership and coalition-building on manufacturing policy and its relationship to the equity imperative under the auspices of UMA’s new Equity Community of Practice.",2017,Active,"$250,000",24 months
US Climate Action Network,www.usclimatenetwork.org/ ,To provide grassroots and frontline members the resources needed to engage in the relationship building and priority-setting aspects of the Network’s new strategic plan.,2017,Active,"$200,000",24 months
"Working World, Inc.",http://theworkingworld.org,"To support a partnership between The Working World and Cooperative Energy Futures to design a new mechanism for funding cooperatively-run, community-owned solar.",2017,Closed,"$75,000",12 months
Yerba Buena Center for the Arts,http://ybca.org,"To support CultureBank, a new model for social-impact investing that converts financial and non-financial assets into capital to invest in the enterprises of artists and arts organizations.",2017,Closed,"$200,000",24 months
buildingcommunityWORKSHOP,http://bcworkshop.org,General operating support.,2016,Active,"$225,000",36 months
"Ceres, Inc.",http://www.ceres.org,"To accelerate the flow of capital to finance green infrastructure through the creation of a credible bond market for green projects and by leveraging influence with institutional investors, capital markets and water utilities.",2016,Closed,"$75,000",12 months
Community LIFT,http://www.communitylift.org,General operating support.,2016,Active,"$550,000",36 months
Coro New York Leadership Center,"http://www,coronewyork.org",To support the Coro New York Leadership Center to implement the Neighborhood Leadership program—a public/private partnership with the New York City Department of Small Business Services—designed to develop the skills and networks of leaders improving New York City’s commercial corridors and Business Improvement Districts (BIDs) with a focus on those in low and moderate communities.,2016,Closed,"$75,000",12 months
"Efforts of Grace, Inc.",http://www.ashecac.org,General operating support.,2016,Active,"$450,000",36 months
First Peoples Fund,http://www.firstpeoplesfund.org,"To support capacity-building efforts for Native community development financial institutions, their partners, and community-based Native artists to establish and play leadership roles in building local creative economies through a number of arts endeavors.",2016,Active,"$600,000",36 months
Foundation for Louisiana,http://www.foundationforlouisiana.org,General operating support.,2016,Active,"$200,000",24 months
Funders' Network for Smart Growth and Livable Communities,http://www.fundersnetwork.org,"To support seven areas of work: PLACES fellowship program; Stormwater Funders’ Group; GREEN! funder working group; Anchor Institutions Funders’ Group; Restoring Prosperity in Older Industrial Cities funder working group; 2017 Annual Conference; and federal transition efforts to ensure that federal programs and policies result in more just, sustainable, and inclusive communities and economies.",2016,Active,"$400,000",24 months
Heart of Los Angeles Youth,http://www.heartofla.org,"To provide closeout support for the youth-focused Visual Arts Department. This grant closes out our previous strategies in preparation for the rollout of our new arts and culture program, Radical Imagination for Racial Justice.",2016,Active,"$500,000",36 months
Inner City Advisors,www.icafundgoodjobs.org ,General operating support.,2016,Closed,"$300,000",24 months
Juxtaposition Arts,http://www.juxtaposition.org,"To support the development of JXTALab, an arts-based, youth-focused social enterprise.",2016,Active,"$550,000",36 months
Massachusetts College of Art and Design,http://www.massart.edu,"To support Artward Bound, a four-year college-preparatory art and design program.",2016,Closed,"$150,000",24 months
National Association of Latino Arts and Culture,http://www.nalac.org,"To support the Fund for the Arts, leadership institutes, and convenings, while optimizing programs, strengthening infrastructure, and preparing for future succession planning.",2016,Closed,"$300,000",24 months
Nexus Community Partners,http://www.nexuscp.org,General operating support.,2016,Closed,"$150,000",12 months
Project Row Houses,http://www.projectrowhouses.org,To support the Public Art program and the community revitalization and development work of the Emancipation Economic Development Council.,2016,Closed,"$300,000",24 months
The Albert Jr. and Tina Small Center for Collaborative Design at Tulane School of Architecture,http://www.tulanecitycenter.org,"To provide closeout support for the Albert and Tina Small Center for Collaborative Design to continue positively impacting the people and places of New Orleans through its award-winning public-interest design programs. This grant closes out our previous strategies in preparation for the rollout of our new arts and culture program, Radical Imagination for Racial Justice.",2016,Active,"$225,000",36 months
The Regents of the University of California/Center for the Art of Performance at UCLA,http://cap.ucla.edu/,"To support CODA21, a platform for dialogue, inquiry, and experimentation exploring the intersections of performance-based art and neuroscience focused on creativity, empathy, and memory. This pilot initiative is a collaboration between the Center for the Art of Performance, Silvalab, the Consciousness and Metacognition Lab, and the Design Media Arts Lab.",2016,Closed,"$250,000",24 months
Transportation for America,http://www.t4america.org,"To support scholarships for grassroots organizations to attend the Transportation for All biennial state transportation “Capital Ideas II” conference in Sacramento on November 16 and 17, 2016.",2016,Closed,"$10,000",12 months
Walker Art Center,http://www.walkerart.org,"To provide closeout support for the Teen Programs, which facilitate youth arts skills development, self-expression, and criticality with respect to the social issues that intersect with art. This grant closes out our previous strategies in preparation for the rollout of our new arts and culture program, Radical Imagination for Racial Justice.",2016,Closed,"$80,000",18 months
Zaccho Dance Theatre,http://www.zaccho.org,General operating support.,2016,Active,"$240,000",36 months
B Lab Company,http://www.bcorporation.net,To support the B Lab Company in implementing the Best For NYC and Best For campaigns and the Future of Work Initiative.,2016,Active,"$250,000",24 months
Center for Neighborhood Technology,http://www.cnt.org,"To support the next phase of RainReady Program, a multi-year approach for developing and scaling-up cost effective green infrastructure and property retrofit strategies that alleviate urban flooding.",2016,Active,"$525,000",36 months
Center on Wisconsin Strategy,www.cows.org,To provide project support to the Center on Wisconsin Strategy to coordinate and implement the Mayors Innovation Project.,2016,Closed,"$300,000",24 months
Chicago United Inc.,http://www.chicago-united.org,"To support Chicago United in continuing to build momentum of Five Forward Initiative, adding impact for corporate partners and supporting accelerated growth of selected minority businesses, to strengthen the local economy and enhance job creation.",2016,Active,"$250,000",24 months
Cincinnati USA Regional Chamber Foundation,http://www.cincinnatichamber.com/,To support the Cincinnati USA Regional Chamber Foundation’s Minority Business Accelerator (MBA)’s vision of being a national leader in MBE development through optimizing the growth of its portfolio companies; building a high-growth MBE pipeline; and informing a national replication strategy.,2016,Active,"$300,000",24 months
Clean Energy Group,http://www.cleanegroup.org,"To support the Resilient Power Project which creates a market for clean, reliable, distributed energy systems in low-wealth communities by developing new tools and ownership models for communities.",2016,Closed,"$200,000",24 months
Los Cenzontles Mexican Arts Center,http://www.loscenzontles.com,"To provide closeout support for the Cultural Arts Academy for youth. This grant closes out our previous strategies in preparation for the rollout of our new arts and culture program, Radical Imagination for Racial Justice.",2016,Active,"$150,000",36 months
ALIGN: the Alliance for a Greater New York,http://www.alignny.org,"To support the NY Renews coalition (statewide) to advocate for policy changes that simultaneously reduce New York state (NYS) greenhouse gas emissions, create living wage jobs and strengthen front-line and impacted communities.",2016,Closed,"$100,000",18 months
Allied Media Projects,www.alliedmedia.org ,"To support Detroit Future Schools, which engages a cohort of Detroit youth fellows to lead participatory action research into the state of Detroit schools.",2016,Closed,"$25,000",12 months
